Race ID,Chamber,State,Congressional District,Year,R-D Victory Margin,Incumbent Running?,Geography,District PVI,Population\Square-Mile,Share African-American,Share Asian,Share College Educated,Share Hispanic,Share Non-Hispanic White,Unopposed D?,Unopposed R?,Vote Share of Last D Presidential Candidate,Vote Share of Last R House Candidate
H2006AK00,House,AK,00,2006,16.6,Republican,,14,1.1,0.043932952000000004,0.040061761,0.27,0.052012727,0.682767432,0,0,0.3677,0.7107
H2006AL01,House,AL,01,2006,36.28,Republican,,12,100.57,0.282612622,0.018000000000000002,0.205,0.014613921,0.684177939,0,0,0.3523,0.6312
H2006AL02,House,AL,02,2006,39.04,Republican,Quite Rural,13,60.5,0.307379663,0.01,0.193,0.019103579,0.656590969,0,0,0.3303,0.7142
H2006AL03,House,AL,03,2006,20.99,Republican,,4,81.1,0.322474957,0.011000000000000001,0.195,0.014462781999999999,0.6481110999999999,0,0,0.4141,0.612
H2006AL04,House,AL,04,2006,40.47,Republican,Extremely Rural,16,75.88,0.051929042,0.005,0.131,0.044584535,0.8844178540000001,0,0,0.2827,0.7473
H2006AL05,House,AL,05,2006,-100.0,Democrat,,6,141.62,0.174683824,0.016,0.267,0.026222397,0.753765343,1,0,0.3977,0.2692
H2006AL06,House,AL,06,2006,100.0,Republican,,25,139.19,0.104736045,0.015,0.336,0.022174818,0.8210750920000001,0,1,0.2187,0.988
H2006AL07,House,AL,07,2006,-100.0,Democrat,Quite Urban,-17,73.28,0.6449187989999999,0.009000000000000001,0.171,0.021615633999999998,0.361327319,1,0,0.6453,0.2494
H2006AR01,House,AR,01,2006,-38.3,Democrat,Quite Rural,-1,38.97,0.17086339,0.003,0.13699999999999998,0.017514683,0.8116528820000001,0,0,0.47700000000000004,0.3343
H2006AR02,House,AR,02,2006,-21.08,Democrat,,0,112.47,0.211096883,0.016,0.258,0.033686318,0.736258319,0,0,0.4805,0.4183
H2006AR03,House,AR,03,2006,24.18,Republican,,6,79.24,0.027336898999999998,0.023,0.213,0.09821467099999999,0.830021005,0,0,0.3694,0.5932
H2006AR04,House,AR,04,2006,-49.5,Democrat,Quite Rural,0,32.49,0.24473393,0.006,0.15,0.037472516000000004,0.714589177,0,0,0.4805,0.0
H2006AZ01,House,AZ,01,2006,7.84,Republican,,2,10.94,0.015359508000000001,0.013999999999999999,0.192,0.176156908,0.621798128,0,0,0.4581,0.5854
H2006AZ02,House,AZ,02,2006,18.94,Republican,Extremely Urban,9,31.72,0.038647439,0.027000000000000003,0.21899999999999997,0.184169143,0.742926942,0,0,0.3818,0.5917
H2006AZ03,House,AZ,03,2006,19.59,Republican,Extremely Urban,6,1071.7,0.034954675,0.040999999999999995,0.33899999999999997,0.190728337,0.748494766,0,0,0.4175,0.8009999999999999
H2006AZ04,House,AZ,04,2006,-47.94,Democrat,Extremely Urban,-14,3216.29,0.079879068,0.02,0.136,0.668093264,0.274527474,0,0,0.6202,0.2566
H2006AZ05,House,AZ,05,2006,-4.05,Republican,Extremely Urban,4,456.21,0.038122851,0.051,0.436,0.162472457,0.740782242,0,0,0.4558,0.595
H2006AZ06,House,AZ,06,2006,100.0,Republican,Extremely Urban,12,886.25,0.031577446,0.034,0.285,0.20315966,0.7367937920000001,0,1,0.3533,0.7938
H2006AZ07,House,AZ,07,2006,-24.86,Democrat,Quite Urban,-10,28.04,0.038463172000000004,0.021,0.153,0.554433167,0.38660032899999996,0,0,0.5698,0.3367
H2006AZ08,House,AZ,08,2006,-11.93,Open Seat,Extremely Urban,1,71.21,0.038585585,0.037000000000000005,0.341,0.203015119,0.726727366,0,0,0.4677,0.6036
H2006CA01,House,CA,01,2006,-37.25,Democrat,Quite Urban,-10,58.07,0.019192779,0.063,0.284,0.20429872,0.674366503,0,0,0.6088,0.2826
H2006CA02,House,CA,02,2006,31.72,Republican,,13,29.37,0.017783262,0.055999999999999994,0.204,0.166650206,0.746361488,0,0,0.3708,0.6685
H2006CA03,House,CA,03,2006,21.65,Republican,Extremely Urban,7,189.4,0.065949477,0.109,0.29,0.130289778,0.662353175,0,0,0.41200000000000003,0.6191
H2006CA04,House,CA,04,2006,3.18,Republican,,11,38.84,0.014920613999999999,0.053,0.29600000000000004,0.09899199800000001,0.808731579,0,0,0.3789,0.6539
H2006CA05,House,CA,05,2006,-47.28,Democrat,Extremely Urban,-14,4346.95,0.161107317,0.185,0.254,0.25194633,0.41000505,0,0,0.6171,0.2333
H2006CA06,House,CA,06,2006,-44.11,Democrat,Extremely Urban,-21,393.39,0.025428245,0.06,0.405,0.180572122,0.725494588,0,0,0.7143,0.2735
H2006CA07,House,CA,07,2006,-100.0,Democrat,Extremely Urban,-19,1830.99,0.173346996,0.16899999999999998,0.255,0.24888676399999998,0.39353488600000003,1,0,0.6784,0.2392
H2006CA08,House,CA,08,2006,-69.67,Democrat,Extremely Urban,-36,18063.54,0.08503395300000001,0.317,0.501,0.159512252,0.441408129,0,0,0.8575,0.1151
H2006CA09,House,CA,09,2006,-75.62,Democrat,Extremely Urban,-38,4830.96,0.23866342,0.185,0.426,0.21527919199999998,0.378149701,0,0,0.8724,0.1226
H2006CA10,House,CA,10,2006,-32.89,Democrat,Extremely Urban,-9,630.69,0.07935126099999999,0.13699999999999998,0.39399999999999996,0.19680325699999998,0.570799901,0,0,0.5914,0.3429
H2006CA11,House,CA,11,2006,-6.54,Republican,Extremely Urban,3,280.69,0.055791959,0.161,0.322,0.234878421,0.548336764,0,0,0.4564,0.6123
H2006CA12,House,CA,12,2006,-52.1,Democrat,Extremely Urban,-22,5464.63,0.031231117000000003,0.336,0.46299999999999997,0.158501774,0.43027834200000004,0,0,0.7243,0.2082
H2006CA13,House,CA,13,2006,-49.78,Democrat,Extremely Urban,-22,2888.01,0.08193706,0.381,0.369,0.231173933,0.298207897,0,0,0.7172,0.2399
H2006CA14,House,CA,14,2006,-46.86,Democrat,Extremely Urban,-18,774.04,0.032666314,0.23399999999999999,0.57,0.187004566,0.541422004,0,0,0.6939,0.2656
H2006CA15,House,CA,15,2006,-44.66,Democrat,Extremely Urban,-14,2232.78,0.026401259,0.386,0.466,0.19371914899999998,0.40072485,0,0,0.6367,0.2797
H2006CA16,House,CA,16,2006,-45.42,Democrat,Extremely Urban,-16,2779.97,0.03561803,0.27899999999999997,0.321,0.38538214600000004,0.289430425,0,0,0.6412,0.2633
